id,topic,sentence
33,Health & Daily Life,"Remember to buy milk, bread, and eggs from the store."
34,Health & Daily Life,"What are the common symptoms of the flu?"
35,Health & Daily Life,"The coffee shop on the corner opens at 7 AM."
36,Health & Daily Life,"Please take out the trash before you leave."
37,Health & Daily Life,"Learning a new language can improve cognitive function."
38,Health & Daily Life,"My train is scheduled to arrive at 5:30 PM."
39,Health & Daily Life,"What is the best way to manage stress?"
40,Health & Daily Life,"I have a dentist appointment next Tuesday."
41,Philosophy & Economics,"""I think, therefore I am"" is a famous philosophical proposition by René Descartes."
42,Philosophy & Economics,"What is the difference between ethics and morals?"
43,Philosophy & Economics,"The law of supply and demand determines the price of goods."
44,Philosophy & Economics,"Explain the concept of existentialism."
45,Philosophy & Economics,"A country's GDP is the total monetary value of all goods and services produced."
46,Philosophy & Economics,"Is a truly altruistic act possible?"
47,Philosophy & Economics,"Inflation erodes the purchasing power of a currency."
48,Philosophy & Economics,"Socrates was a classical Greek philosopher credited as one of the founders of Western philosophy."
49,Philosophy & Economics,"How does a government's fiscal policy affect its economy?"
50,Philosophy & Economics,"Utilitarianism is an ethical theory that promotes actions that maximize happiness."
51,Sports & Entertainment,"The Olympic Games are held every four years."
52,Sports & Entertainment,"Who won the last FIFA World Cup?"
53,Sports & Entertainment,"The Super Bowl is the annual championship game of the National Football League."
54,Sports & Entertainment,"Name three famous actors from the Golden Age of Hollywood."
55,Sports & Entertainment,"Cricket is most popular in the Commonwealth countries."
56,Sports & Entertainment,"What are the rules of chess?"
57,Sports & Entertainment,"""Breaking Bad"" is often cited as one of the greatest television series of all time."
58,Sports & Entertainment,"Michael Jordan is widely regarded as the greatest basketball player ever."
59,Sports & Entertainment,"How does the scoring system in tennis work?"
60,Sports & Entertainment,"The ""Star Wars"" saga has had a profound impact on pop culture."
61,Nature & Environment,"Deforestation is a primary driver of climate change."
62,Nature & Environment,"How do bees contribute to pollination?"
63,Nature & Environment,"The Great Barrier Reef is the world's largest coral reef system."
64,Nature & Environment,"What can individuals do to reduce their carbon footprint?"
65,Nature & Environment,"The Earth's magnetic field protects us from solar wind."
66,Nature & Environment,"Describe the water cycle."
67,Nature & Environment,"Plastic pollution poses a significant threat to marine life."
68,Nature & Environment,"Why are polar bears considered a vulnerable species?"
69,Nature & Environment,"Renewable energy sources include solar, wind, and hydropower."
70,Nature & Environment,"National parks are established to conserve natural landscapes and wildlife."
71,Miscellaneous,"Could you please tell me the time?"
72,Miscellaneous,"That is an interesting perspective."
73,Miscellaneous,"Turn left at the next intersection."
74,Miscellaneous,"The quick brown fox jumps over the lazy dog."
75,Miscellaneous,"Is there a faster way to solve this problem?"
76,Miscellaneous,"I completely disagree with that statement."
77,Miscellaneous,"Let's meet for lunch tomorrow."
78,Miscellaneous,"How much does this book cost?"
79,Miscellaneous,"This is not what I was expecting."
80,Miscellaneous,"Can you recommend a good restaurant nearby?"
81,Miscellaneous,"The sun rises in the east and sets in the west."
82,Miscellaneous,"What is your favorite color?"
83,Miscellaneous,"I need to finish this report by Friday."
84,Miscellaneous,"Be careful what you wish for."
85,Miscellaneous,"The meeting has been postponed until further notice."
86,Miscellaneous,"Where did you go on your last vacation?"
87,Miscellaneous,"It's raining cats and dogs outside."
88,Miscellaneous,"That movie received excellent reviews."
89,Miscellaneous,"Don't forget to lock the door."
90,Miscellaneous,"What's the weather forecast for this weekend?"
91,Miscellaneous,"That's a brilliant idea!"
92,Miscellaneous,"I'm sorry, I don't understand."
93,Miscellaneous,"The ceremony will begin shortly."
94,Miscellaneous,"Can you help me with my homework?"
95,Miscellaneous,"I've never seen anything like it."
96,Miscellaneous,"Please speak more slowly."
97,Miscellaneous,"What are the main ingredients in this dish?"
98,Miscellaneous,"The battery on my phone is almost dead."
99,Miscellaneous,"Let's agree to disagree."
100,Miscellaneous,"This is the best cake I have ever tasted."
101,Business & Law,"A startup's business plan is essential for securing funding."
102,Business & Law,"What is the legal definition of a contract?"
103,Business & Law,"Corporate social responsibility is becoming increasingly important for companies."
104,Business & Law,"Explain the concept of intellectual property."
105,Business & Law,"In a free market, competition drives innovation."
106,Business & Law,"What are the main differences between civil and criminal law?"
107,Business & Law,"The stock market can be highly volatile."
108,Business & Law,"The principle of ""innocent until proven guilty"" is fundamental to many legal systems."
109,Business & Law,"What is a SWOT analysis?"
110,Business & Law,"A non-disclosure agreement prevents the sharing of confidential information."
111,Mathematics & Logic,"The Pythagorean theorem is a^2 + b^2 = c^2."
112,Mathematics & Logic,"Solve the following equation for x: 2x + 5 = 15."
113,Mathematics & Logic,"A prime number is a number greater than 1 that has no positive divisors other than 1 and itself."
114,Mathematics & Logic,"If all men are mortal, and Socrates is a man, then Socrates is mortal."
115,Mathematics & Logic,"What is the value of pi to five decimal places?"
116,Mathematics & Logic,"Explain the concept of a paradox."
117,Mathematics & Logic,"The sum of the angles in a triangle is always 180 degrees."
118,Mathematics & Logic,"Is the set of all sets that do not contain themselves a member of itself?"
119,Mathematics & Logic,"Calculus is the mathematical study of continuous change."
120,Mathematics & Logic,"How do you calculate the area of a circle?"
121,Food & Cooking,"The five basic tastes are sweet, sour, salty, bitter, and umami."
122,Food & Cooking,"What is the recipe for a classic carbonara?"
123,Food & Cooking,"Fermentation is a metabolic process that produces chemical changes in organic substrates."
124,Food & Cooking,"Sauté the onions until they are translucent."
125,Food & Cooking,"Which country is famous for its sushi?"
126,Food & Cooking,"The key to a good bread is proper kneading and proofing."
127,Food & Cooking,"What is the difference between a herb and a spice?"
128,Food & Cooking,"A balanced meal should include protein, carbohydrates, and fats."
129,Food & Cooking,"Let the steak rest for ten minutes before slicing it."
130,Food & Cooking,"How do you make a simple vinaigrette dressing?"
131,Travel & Culture,"The Eiffel Tower is one of the most recognizable landmarks in the world."
132,Travel & Culture,"What are some common cultural customs to be aware of when visiting Japan?"
133,Travel & Culture,"I need to book a flight to New York for next month."
134,Travel & Culture,"Describe the traditional attire of Scotland."
135,Travel & Culture,"The Carnival in Rio de Janeiro is famous for its elaborate parades."
136,Travel & Culture,"Where can one see the Northern Lights?"
137,Travel & Culture,"Haggling is a common practice in many markets around the world."
138,Travel & Culture,"What languages are spoken in Switzerland?"
139,Travel & Culture,"The Trans-Siberian Railway is one of the longest railway lines in the world."
140,Travel & Culture,"How has tourism impacted the local culture in Bali?"
141,Psychology & Sociology,"Cognitive dissonance is the mental discomfort experienced by a person who holds two or more contradictory beliefs."
142,Psychology & Sociology,"What is the bystander effect?"
143,Psychology & Sociology,"Nature versus nurture is a long-standing debate in psychology."
144,Psychology & Sociology,"Social norms are the unwritten rules of behavior that are considered acceptable in a group or society."
145,Psychology & Sociology,"Explain Maslow's hierarchy of needs."
146,Psychology & Sociology,"How does confirmation bias affect our decision-making?"
147,Psychology & Sociology,"Social media has fundamentally changed how we interact with each other."
148,Psychology & Sociology,"What are the key stages of child development?"
149,Psychology & Sociology,"Groupthink can lead to poor decision-making within a team."
150,Psychology & Sociology,"Describe the Milgram experiment and its findings."
151,Imperative & Command,"Please provide a detailed summary of the report."
152,Imperative & Command,"Do not touch the exhibits in the museum."
153,Imperative & Command,"Check your email for the confirmation link."
154,Imperative & Command,"Turn up the volume a little bit."
155,Imperative & Command,"Forward this message to the entire team."
156,Imperative & Command,"Explain your reasoning clearly."
157,Imperative & Command,"Calculate the total cost including tax."
158,Imperative & Command,"Remember to call your mother on her birthday."
159,Imperative & Command,"Stop making that noise immediately."
160,Imperative & Command,"Follow the instructions carefully."
161,Questions,"Is this the correct address?"
162,Questions,"How would you design a system to handle millions of concurrent users?"
163,Questions,"What if the dinosaurs had never gone extinct?"
164,Questions,"Can a machine ever be truly conscious?"
165,Questions,"Why is the sky blue?"
166,Questions,"In what ways could universal basic income reshape society?"
167,Questions,"Who is responsible for cleaning up the office kitchen?"
168,Questions,"What are the ethical implications of genetic engineering?"
169,Questions,"Did you enjoy the film?"
170,Questions,"How can we prove that a mathematical statement is unprovable?"
171,Idiomatic & Figurative,"He decided to bite the bullet and apologize."
172,Idiomatic & Figurative,"It’s time to face the music."
173,Idiomatic & Figurative,"That's the best thing since sliced bread."
174,Idiomatic & Figurative,"Don't count your chickens before they hatch."
175,Idiomatic & Figurative,"She has a chip on her shoulder."
176,Idiomatic & Figurative,"He spilled the beans about the surprise party."
177,Idiomatic & Figurative,"Let's not beat around the bush."
178,Idiomatic & Figurative,"It's a piece of cake."
179,Idiomatic & Figurative,"The ball is in your court now."
180,Idiomatic & Figurative,"He's burning the midnight oil to finish his project."
181,Ambiguous & Complex,"The old man the boat."
182,Ambiguous & Complex,"I saw a man on a hill with a telescope."
183,Ambiguous & Complex,"The horse raced past the barn fell."
184,Ambiguous & Complex,"While I was reading the book fell off my lap."
185,Ambiguous & Complex,"Visiting relatives can be boring."
186,Ambiguous & Complex,"The company that I told you about which was founded in 1998 is now a multinational corporation."
187,Ambiguous & Complex,"He gave her cat food."
188,Ambiguous & Complex,"They are hunting dogs."
189,Ambiguous & Complex,"The author of the book that won the award that was presented last night is here."
190,Ambiguous & Complex,"I know the students who the teachers think are smart."
191,Simple Declarative,"The sky is cloudy today."
192,Simple Declarative,"My favorite season is autumn."
193,Simple Declarative,"The dog is barking."
194,Simple Declarative,"I enjoy reading science fiction novels."
195,Simple Declarative,"The house is painted white."
196,Simple Declarative,"She works as a software engineer."
197,Simple Declarative,"The train was late."
198,Simple Declarative,"He plays the guitar very well."
199,Simple Declarative,"Water boils at 100 degrees Celsius at sea level."
200,Simple Declarative,"The meeting is at 3 PM."
